1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	17,451520	17,451520	999,695398
3	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	34,903041	34,903041	1999,390796
4	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	52,354561	52,354561	2999,086194
5	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	69,806082	69,806082	3998,781592
6	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	87,257602	87,257602	4998,47699
7	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	104,709122	104,709122	5998,172388
8	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	122,160643	122,160643	6997,867786
9	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	139,612163	139,612163	7997,563184
10	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	157,063683	157,063683	8997,258582
11	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	174,515204	174,515204	9996,95398

